,publisher,dagger,author,isbn,price,date,title,weeks_on_list,no_of_words_title
261,Simon & Schuster,0,Kyra Davis,1476711100,0,2013-04-21,THE STRANGER,3,2
262,Harlequin,0,Susan Mallery,None,0,2013-04-14,THREE SISTERS,3,2
263,Grand Central Publishing,0,Sandra Brown,1455546348,0,2013-03-31,MIRROR IMAGE,3,2
264,Abbi Glines,0,Abbi Glines,None,0,2013-03-31,FALLEN TOO FAR,3,3
265,Penguin Group,0,J D Robb,None,0,2013-03-31,CALCULATED IN DEATH,3,3
266,Elisabeth Naughton,0,Elisabeth Naughton,0985671955,0,2013-03-17,WAIT FOR ME,3,3
267,Grand Central Publishing,0,Brad Meltzer,None,0,2013-02-17,THE FIFTH ASSASSIN,3,3
268,Penguin Group,0,John Sandford,None,0,2012-11-04,MAD RIVER,3,2
269,Penguin Group,0,Deborah Harkness,None,0,2012-08-12,SHADOW OF NIGHT,3,3
270,Penguin Group,0,J D Robb,None,0,2012-03-25,CELEBRITY IN DEATH,3,3
271,Penguin Group,0,Lisa Gardner,None,0,2012-03-11,CATCH ME,3,2
272,"Little, Brown & Company",0,Michael Connelly,None,0,2011-10-30,SUICIDE RUN,3,2
273,Penguin Group,0,Stuart Woods,None,0,2011-02-27,STRATEGIC MOVES,3,2
274,Delacorte,0,Danielle Steel,1101884037,0,2018-06-09,THE CAST,2,2
275,Morrow,0,Dorothea Benton Frank,0062390821,0,2018-06-09,BY INVITATION ONLY,2,3
276,Zebra,0,Lisa Jackson and Nancy Bush,1420136135,0,2018-05-20,ONE LAST BREATH,2,3
277,Putnam,0,Stuart Woods,073521722X,0,2018-05-06,SHOOT FIRST,2,2
278,Putnam,0,CJ Box,0399176624,0,2018-04-22,THE DISAPPEARED,2,2
279,Delacorte,0,Danielle Steel,1101884096,0,2018-04-15,ACCIDENTAL HEROES,2,2
280,Putnam,0,Clive Cussler and Graham Brown,0735215537,0,2018-04-08,THE RISING SEA,2,3
281,Ballantine,0,Jonathan Kellerman,0345541472,0,2018-03-11,NIGHT MOVES,2,2
282,Delacorte,0,Danielle Steel,1101884002,0,2018-02-18,FALL FROM GRACE,2,3
