,publisher,dagger,author,isbn,price,date,contributor,title,weeks_on_list,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
226,"Little, Brown",0,James Patterson with Max DiLallo,0316317128,0,2016-07-03,by James Patterson with Max DiLallo,ZOO 2,2,3555,8586,473,5026,10877,599,3.64
227,Ballantine,0,Justin Cronin,0804177643,0,2016-06-19,by Justin Cronin,THE CITY OF MIRRORS,2,122,251,26,45481,100533,4910,4.2
228,Knopf,0,Richard Russo,0307270645,0,2016-05-29,by Richard Russo,EVERYBODY'S FOOL,2,9721,32704,1619,12900,37744,1810,4.08
229,Minotaur,0,Steve Berry,1466862610,0,2016-05-01,by Steve Berry,THE 14TH COLONY,2,11,29,4,10018,21082,890,4.05
230,Anchor,0,Lincoln Child,0385531397,0,2016-04-10,by Lincoln Child,THE THIRD GATE,2,39,85,10,13765,22027,1360,3.68
231,Grand Central,0,Jeffery Deaver,1455536369,0,2016-04-03,by Jeffery Deaver,THE STEEL KISS,2,15,30,2,11549,23074,972,4.03
232,St. Martin's,0,Lisa Scottoline,1466842040,0,2016-03-20,by Lisa Scottoline,KEEP QUIET,2,19,43,6,21432,40641,2532,3.79
233,Lucasbooks,0,Alan Dean Foster,1101965495,0,2016-01-31,by Alan Dean Foster,THE FORCE AWAKENS,2,888,1522,201,15382,28938,2231,3.72
234,Mira,0,Mary Kubica,1460330196,0,2015-12-20,by Mary Kubica,THE GOOD GIRL,2,27,70,12,195014,391658,15016,3.81
235,Simon & Schuster,0,Mary Higgins Clark and Alafair Burke,1501108557,0,2015-12-13,by Mary Higgins Clark and Alafair Burke,ALL DRESSED IN WHITE,2,8530,17015,918,12575,24919,1144,3.99
236,Grand Central,0,Douglas Preston and Lincoln Child,1455525936,0,2015-12-06,by Douglas Preston and Lincoln Child,CRIMSON SHORE,2,3,14,0,87,212,3,4.22
237,Del Rey,0,Chuck Wendig,034551162X,0,2015-09-27,by Chuck Wendig,STAR WARS: AFTERMATH,2,2387,8343,375,25792,51598,3274,3.23
238,"Farrar, Straus & Giroux",0,Jonathan Franzen,0374239215,0,2015-09-27,by Jonathan Franzen,PURITY,2,32852,81233,3718,41255,96588,4496,3.62
239,Mira,0,Ron Carr,1460382072,0,2015-07-26,by Robyn Carr,A NEW HOPE,2,19,33,3,6416,13414,484,4.12
240,Putnam,0,J D Robb,0698161440,0,2015-03-08,by J. D. Robb,OBSESSION IN DEATH,2,50,87,7,18506,39216,1541,4.36
241,Knopf,0,Anne Rice,0307962520,0,2014-11-23,by Anne Rice,PRINCE LESTAT,2,15602,51333,2088,20247,59895,2469,3.8
